sampler,integrator,spp,rmse,rel_mse
pcg,misnee,1,0.240895,0.780824
pcg,misnee,2,0.176774,0.478238
pcg,misnee,4,0.110654,0.221694
pcg,misnee,8,0.093370,0.118946
pcg,misnee,16,0.065836,0.057055
pcg,misnee,32,0.048449,0.030504
pcg,misnee,64,0.032680,0.015952
pcg,misnee,128,0.020683,0.007916
pcg,misnee,256,0.013932,0.003839
pcg,misnee,512,0.009253,0.001761
pcg,misnee,1024,0.006187,0.000765
pcg,bsdf,1,1.143309,29.624540
pcg,bsdf,2,0.783134,13.365604
pcg,bsdf,4,0.546810,6.514371
pcg,bsdf,8,0.391416,3.372516
pcg,bsdf,16,0.278731,1.739596
pcg,bsdf,32,0.195927,0.862037
pcg,bsdf,64,0.138847,0.436191
pcg,bsdf,128,0.097690,0.215935
pcg,bsdf,256,0.068357,0.107252
pcg,bsdf,512,0.048408,0.053861
pcg,bsdf,1024,0.034796,0.027602
halton,misnee,1,0.280100,1.335448
halton,misnee,2,0.205291,0.652666
halton,misnee,4,0.148071,0.356979
halton,misnee,8,0.105854,0.184307
halton,misnee,16,0.067814,0.078842
halton,misnee,32,0.051088,0.037106
halton,misnee,64,0.036472,0.018866
halton,misnee,128,0.020174,0.007938
halton,misnee,256,0.013958,0.003957
halton,misnee,512,0.009565,0.002058
halton,misnee,1024,0.007085,0.001099
halton,bsdf,1,1.058697,25.291439
halton,bsdf,2,0.726659,12.081401
halton,bsdf,4,0.542086,7.266183
halton,bsdf,8,0.381069,3.622797
halton,bsdf,16,0.258731,1.695858
halton,bsdf,32,0.178471,0.781832
halton,bsdf,64,0.108219,0.307365
halton,bsdf,128,0.072821,0.142962
halton,bsdf,256,0.048369,0.064965
halton,bsdf,512,0.031594,0.028612
halton,bsdf,1024,0.021864,0.013675
sobol,misnee,1,0.221937,1.249988
sobol,misnee,2,0.162630,0.574217
sobol,misnee,4,0.135746,0.386008
sobol,misnee,8,0.109846,0.210759
sobol,misnee,16,0.100726,0.154956
sobol,misnee,32,0.093795,0.120439
sobol,misnee,64,0.090832,0.107968
sobol,misnee,128,0.088890,0.101829
sobol,misnee,256,0.088143,0.097315
sobol,misnee,512,0.087873,0.096366
sobol,misnee,1024,0.087795,0.095856
sobol,bsdf,1,1.087202,27.791396
sobol,bsdf,2,0.779038,14.161594
sobol,bsdf,4,0.564062,7.144463
sobol,bsdf,8,0.461516,4.388363
sobol,bsdf,16,0.411593,3.219289
sobol,bsdf,32,0.389649,2.743346
sobol,bsdf,64,0.382032,2.591085
sobol,bsdf,128,0.379078,2.525784
sobol,bsdf,256,0.377269,2.492809
sobol,bsdf,512,0.376808,2.485648
sobol,bsdf,1024,0.376783,2.485152
